# S1 S2 MSE
1.60 2.10 0.01664
1.60 2.20 0.02677
1.60 2.30 0.01923
1.60 2.40 0.01921
1.60 2.50 0.00976
1.60 2.60 0.02847
1.60 2.70 0.01424
1.60 2.80 0.02585
1.60 2.90 0.01795
1.60 3.00 0.02218

1.70 0.00 0.93613
1.70 0.10 0.62331
1.70 0.20 0.59767
1.70 0.30 0.40479
1.70 0.40 0.48207
1.70 0.50 0.39089
1.70 0.60 0.24925
1.70 0.70 0.22965
1.70 0.80 0.27308
1.70 0.90 0.27535
1.70 1.00 0.30590
1.70 1.10 0.32271
1.70 1.20 0.13376
1.70 1.30 0.07334
1.70 1.40 0.02616
1.70 1.50 0.00941
1.70 1.60 0.00260
1.70 1.70 0.00000
1.70 1.80 0.00126
1.70 1.90 0.00287
1.70 2.00 0.00480
1.70 2.10 0.01153
1.70 2.20 0.01176
1.70 2.30 0.01414
1.70 2.40 0.01452
1.70 2.50 0.03378
1.70 2.60 0.01716
1.70 2.70 0.00803
1.70 2.80 0.01237
1.70 2.90 0.01278
1.70 3.00 0.02842

1.80 0.00 0.89967
1.80 0.10 0.64112
1.80 0.20 0.78318
1.80 0.30 0.47529
1.80 0.40 0.58388
1.80 0.50 0.38824
1.80 0.60 0.32573
1.80 0.70 0.31671
1.80 0.80 0.27290
1.80 0.90 0.30836
1.80 1.00 0.37597
1.80 1.10 0.30209
1.80 1.20 0.24920
1.80 1.30 0.11313
1.80 1.40 0.04240
1.80 1.50 0.01693
1.80 1.60 0.00644
1.80 1.70 0.00102
1.80 1.80 0.00000
1.80 1.90 0.00083
1.80 2.00 0.00329
1.80 2.10 0.00368
1.80 2.20 0.01313
1.80 2.30 0.00608
1.80 2.40 0.00831
1.80 2.50 0.01576
1.80 2.60 0.00810
1.80 2.70 0.01053
1.80 2.80 0.02135
1.80 2.90 0.01719
1.80 3.00 0.02229

1.90 0.00 1.05303
1.90 0.10 0.67399
1.90 0.20 0.68374
1.90 0.30 0.62102
1.90 0.40 0.46468
1.90 0.50 0.46720
1.90 0.60 0.27042
1.90 0.70 0.37819
1.90 0.80 0.33132
1.90 0.90 0.35572
1.90 1.00 0.32627
1.90 1.10 0.43636
1.90 1.20 0.22878
1.90 1.30 0.13324
1.90 1.40 0.08049
1.90 1.50 0.03159
1.90 1.60 0.01405
1.90 1.70 0.00442
1.90 1.80 0.00087
1.90 1.90 0.00000
1.90 2.00 0.00090
1.90 2.10 0.00250
1.90 2.20 0.00500
1.90 2.30 0.00718
1.90 2.40 0.00941
1.90 2.50 0.00549
1.90 2.60 0.01127
1.90 2.70 0.00930
1.90 2.80 0.01827
1.90 2.90 0.01148
1.90 3.00 0.00602

2.00 0.00 0.97178
2.00 0.10 1.00344
2.00 0.20 0.69933
2.00 0.30 0.42726
2.00 0.40 0.53072
2.00 0.50 0.42403
2.00 0.60 0.36113
2.00 0.70 0.28965
2.00 0.80 0.26313
2.00 0.90 0.32516
2.00 1.00 0.34293
2.00 1.10 0.37916
2.00 1.20 0.35125
2.00 1.30 0.14473
2.00 1.40 0.05741
2.00 1.50 0.02994
2.00 1.60 0.02434
2.00 1.70 0.00876
2.00 1.80 0.00227
2.00 1.90 0.00077
2.00 2.00 0.00000
2.00 2.10 0.00062
2.00 2.20 0.00086
2.00 2.30 0.00190
2.00 2.40 0.00290
2.00 2.50 0.00661
2.00 2.60 0.00922
2.00 2.70 0.00244
2.00 2.80 0.00317
2.00 2.90 0.01395
2.00 3.00 0.01420

2.10 0.00 0.99029
2.10 0.10 0.75836
2.10 0.20 0.55833
2.10 0.30 0.59540
2.10 0.40 0.49105
2.10 0.50 0.31442
2.10 0.60 0.31799
2.10 0.70 0.35812
2.10 0.80 0.31981
2.10 0.90 0.33366
2.10 1.00 0.39716
2.10 1.10 0.41187
2.10 1.20 0.36406
2.10 1.30 0.18887
2.10 1.40 0.07837
2.10 1.50 0.04266
2.10 1.60 0.02567
2.10 1.70 0.00724
2.10 1.80 0.00605
2.10 1.90 0.00178
2.10 2.00 0.00024
2.10 2.10 0.00000
2.10 2.20 0.00030
2.10 2.30 0.00067
2.10 2.40 0.00060
2.10 2.50 0.00369
2.10 2.60 0.00661
2.10 2.70 0.00903
2.10 2.80 0.00605
2.10 2.90 0.01414
2.10 3.00 0.00483

2.20 0.00 1.01144
2.20 0.10 0.77615
2.20 0.20 0.60165
2.20 0.30 0.68889
2.20 0.40 0.46050
2.20 0.50 0.47519
2.20 0.60 0.33577
2.20 0.70 0.25827
2.20 0.80 0.28688
2.20 0.90 0.34623
2.20 1.00 0.45843
2.20 1.10 0.46183
2.20 1.20 0.37109
2.20 1.30 0.22310
2.20 1.40 0.09702
2.20 1.50 0.05586
2.20 1.60 0.04712
2.20 1.70 0.02104
2.20 1.80 0.01150
2.20 1.90 0.00386
2.20 2.00 0.00256
2.20 2.10 0.00041
2.20 2.20 0.00000
2.20 2.30 0.00012
2.20 2.40 0.00052
2.20 2.50 0.00328
2.20 2.60 0.00240
2.20 2.70 0.00061
2.20 2.80 0.00406
