#S1         S2       STVMSE
1.9   1.2   0.189133
1.9   1.3   0.108485
1.9   1.4   0.0553534
1.9   1.5   0.0274879
1.9   1.6   0.0125495
1.9   1.7   0.00466537
1.9   1.8   0.000997002
1.9   1.9   1.39175e-08
1.9   2   0.000669018
1.9   2.1   0.00210274
1.9   2.2   0.0037708
1.9   2.3   0.00540745
1.9   2.4   0.00688744
1.9   2.5   0.00816137
1.9   2.6   0.00922103
1.9   2.7   0.0100796
1.9   2.8   0.01076
1.9   2.9   0.0112892
1.9   3   0.0116935

2   0   0.920537
2   0.1   0.774564
2   0.2   0.64839
2   0.3   0.541848
2   0.4   0.454681
2   0.5   0.386485
2   0.6   0.336612
2   0.7   0.303968
2   0.8   0.286599
2   0.9   0.280768
2   1   0.278818
2   1.1   0.264759
2   1.2   0.213426
2   1.3   0.130858
2   1.4   0.0703203
2   1.5   0.0375067
2   1.6   0.0193244
2   1.7   0.00903091
2   1.8   0.00341001
2   1.9   0.000736768
2   2   2.70662e-08
2   2.1   0.00050451
2   2.2   0.00159969
2   2.3   0.00288764
2   2.4   0.00416187
2   2.5   0.005321
2   2.6   0.00632313
2   2.7   0.00715922
2   2.8   0.00783794
2   2.9   0.00837658
2   3   0.0087957

2.1   0   0.937104
2.1   0.1   0.790322
2.1   0.2   0.663342
2.1   0.3   0.556
2.1   0.4   0.468042
2.1   0.5   0.399076
2.1   0.6   0.348476
2.1   0.7   0.31519
2.1   0.8   0.297361
2.1   0.9   0.29148
2.1   1   0.290434
2.1   1.1   0.279403
2.1   1.2   0.233461
2.1   1.3   0.150844
2.1   1.4   0.0842781
2.1   1.5   0.0471144
2.1   1.6   0.0261333
2.1   1.7   0.0138033
2.1   1.8   0.00655699
2.1   1.9   0.00250414
2.1   2   0.000545727
2.1   2.1   2.11353e-08
2.1   2.2   0.00037903
2.1   2.3   0.00121109
2.1   2.4   0.00219652
2.1   2.5   0.00317739
2.1   2.6   0.00407317
2.1   2.7   0.00484946
2.1   2.8   0.00549797
2.1   2.9   0.00602463
2.1   3   0.00644244

2.2   0   0.95069
2.2   0.1   0.803276
2.2   0.2   0.675666
2.2   0.3   0.567697
2.2   0.4   0.47912
2.2   0.5   0.409554
2.2   0.6   0.358384
2.2   0.7   0.324596
2.2   0.8   0.306405
2.2   0.9   0.300469
2.2   1   0.300086
2.2   1.1   0.291324
2.2   1.2   0.249766
2.2   1.3   0.168102
2.2   1.4   0.0968155
2.2   1.5   0.0559213
2.2   1.6   0.0325683
2.2   1.7   0.0185426
2.2   1.8   0.00996191
2.2   1.9   0.00478799
2.2   2   0.00184428
2.2   2.1   0.000404243
2.2   2.2   6.39936e-08
2.2   2.3   0.000284812
2.2   2.4   0.00091239
2.2   2.5   0.00166056
2.2   2.6   0.00240652
2.2   2.7   0.00308999
2.2   2.8   0.00368277
2.2   2.9   0.00417782
2.2   3   0.00457941

2.3   0   0.961708
2.3   0.1   0.813804
2.3   0.2   0.685705
2.3   0.3   0.577251
2.3   0.4   0.488196
2.3   0.5   0.418163
2.3   0.6   0.366554
2.3   0.7   0.332376
2.3   0.8   0.313903
2.3   0.9   0.30792
2.3   1   0.308029
2.3   1.1   0.300978
2.3   1.2   0.262906
2.3   1.3   0.182618
2.3   1.4   0.107736
2.3   1.5   0.063715
2.3   1.6   0.0383891
2.3   1.7   0.0229733
2.3   1.8   0.013311
2.3   1.9   0.00723689
2.3   2   0.00350758
2.3   2.1   0.00135916
2.3   2.2   0.000299202
2.3   2.3   1.64485e-08
2.3   2.4   0.000211972
2.3   2.5   0.000682479
2.3   2.6   0.00124522
2.3   2.7   0.00180807
2.3   2.8   0.00232334
2.3   2.9   0.00276983
2.3   3   0.00314209

2.4   0   0.970547
2.4   0.1   0.822266
2.4   0.2   0.693792
2.4   0.3   0.584965
2.4   0.4   0.495543
2.4   0.5   0.425153
2.4   0.6   0.373205
2.4   0.7   0.338729
2.4   0.8   0.32004
2.4   0.9   0.314019
2.4   1   0.3145
2.4   1.1   0.308743
2.4   1.2   0.273404
2.4   1.3   0.194574
2.4   1.4   0.117005
2.4   1.5   0.070419
2.4   1.6   0.043479
2.4   1.7   0.0269403
2.4   1.8   0.0164131
2.4   1.9   0.00962509
2.4   2   0.00527695
2.4   2.1   0.00257293
2.4   2.2   0.00100121
2.4   2.3   0.000221075
2.4   2.4   3.6963e-08
2.4   2.5   0.000157513
2.4   2.6   0.000507893
