# S1 S2 MSE_normalized
# Original MSE range: min=7.31772e-02, max=1.29563e+00
2.60 1.00 0.34142
2.60 1.10 0.34613
2.60 1.20 0.39019
2.60 1.30 0.19878
2.60 1.40 0.15067
2.60 1.50 0.07474
2.60 1.60 0.08331
2.60 1.70 0.06928
2.60 1.80 0.01588
2.60 1.90 0.04299
2.60 2.00 0.03790
2.60 2.10 0.03526
2.60 2.20 0.02065
2.60 2.30 0.03625
2.60 2.40 0.01713
2.60 2.50 0.02227
2.60 2.60 0.03908
2.60 2.70 0.01594
2.60 2.80 0.02615
2.60 2.90 0.02153
2.60 3.00 0.01681

2.70 0.00 0.65014
2.70 0.10 0.53564
2.70 0.20 0.58147
2.70 0.30 0.54688
2.70 0.40 0.46586
2.70 0.50 0.22929
2.70 0.60 0.29247
2.70 0.70 0.35650
2.70 0.80 0.30776
2.70 0.90 0.29884
2.70 1.00 0.30877
2.70 1.10 0.44866
2.70 1.20 0.32630
2.70 1.30 0.24990
2.70 1.40 0.14558
2.70 1.50 0.07940
2.70 1.60 0.05443
2.70 1.70 0.04840
2.70 1.80 0.02771
2.70 1.90 0.04294
2.70 2.00 0.02685
2.70 2.10 0.02284
2.70 2.20 0.02586
2.70 2.30 0.04342
2.70 2.40 0.01191
2.70 2.50 0.00650
2.70 2.60 0.02385
2.70 2.70 0.01758
2.70 2.80 0.02144
2.70 2.90 0.02074
2.70 3.00 0.03991

2.80 0.00 1.00000
2.80 0.10 0.75640
2.80 0.20 0.65094
2.80 0.30 0.61354
2.80 0.40 0.53914
2.80 0.50 0.27136
2.80 0.60 0.39358
2.80 0.70 0.33652
2.80 0.80 0.30584
2.80 0.90 0.27328
2.80 1.00 0.41413
2.80 1.10 0.28108
2.80 1.20 0.39329
2.80 1.30 0.30801
2.80 1.40 0.15562
2.80 1.50 0.11518
2.80 1.60 0.11618
2.80 1.70 0.05290
2.80 1.80 0.04001
2.80 1.90 0.04222
2.80 2.00 0.03466
2.80 2.10 0.01515
2.80 2.20 0.03074
2.80 2.30 0.03731
2.80 2.40 0.01728
2.80 2.50 0.02412
2.80 2.60 0.03192
2.80 2.70 0.00918
2.80 2.80 0.03127
2.80 2.90 0.01933
2.80 3.00 0.01079

2.90 0.00 0.91968
2.90 0.10 0.89263
2.90 0.20 0.63607
2.90 0.30 0.44481
2.90 0.40 0.49188
2.90 0.50 0.47283
2.90 0.60 0.24584
2.90 0.70 0.26886
2.90 0.80 0.30324
2.90 0.90 0.29648
2.90 1.00 0.38948
2.90 1.10 0.31887
