# S1 S2 MSE
2.70 0.20 0.83516
2.70 0.30 0.70516
2.70 0.40 0.51893
2.70 0.50 0.59942
2.70 0.60 0.39847
2.70 0.70 0.44259
2.70 0.80 0.36290
2.70 0.90 0.50039
2.70 1.00 0.42575
2.70 1.10 0.49997
2.70 1.20 0.50375
2.70 1.30 0.26887
2.70 1.40 0.21017
2.70 1.50 0.15221
2.70 1.60 0.16753
2.70 1.70 0.15743
2.70 1.80 0.12511
2.70 1.90 0.14736
2.70 2.00 0.12067
2.70 2.10 0.15000
2.70 2.20 0.10766
2.70 2.30 0.10345
2.70 2.40 0.10734
2.70 2.50 0.10535
2.70 2.60 0.10330
2.70 2.70 0.10417
2.70 2.80 0.10928
2.70 2.90 0.09673
2.70 3.00 0.10287

2.80 0.00 1.07194
2.80 0.10 1.00170
2.80 0.20 0.86425
2.80 0.30 0.63123
2.80 0.40 0.64862
2.80 0.50 0.61966
2.80 0.60 0.48567
2.80 0.70 0.42404
2.80 0.80 0.36711
2.80 0.90 0.49991
2.80 1.00 0.50902
2.80 1.10 0.48420
2.80 1.20 0.57196
2.80 1.30 0.43989
2.80 1.40 0.26010
2.80 1.50 0.21207
2.80 1.60 0.16818
2.80 1.70 0.13577
2.80 1.80 0.14031
2.80 1.90 0.12821
2.80 2.00 0.12806
2.80 2.10 0.11210
2.80 2.20 0.10832
2.80 2.30 0.12532
2.80 2.40 0.11209
2.80 2.50 0.13927
2.80 2.60 0.11795
2.80 2.70 0.09705
2.80 2.80 0.11184
2.80 2.90 0.10331
2.80 3.00 0.09502

2.90 0.00 0.95581
2.90 0.10 0.88121
2.90 0.20 0.79459
2.90 0.30 0.93440
2.90 0.40 0.59901
2.90 0.50 0.44573
2.90 0.60 0.54285
2.90 0.70 0.32290
2.90 0.80 0.40591
2.90 0.90 0.66817
2.90 1.00 0.45461
2.90 1.10 0.45496
2.90 1.20 0.62348
2.90 1.30 0.36728
2.90 1.40 0.29041
2.90 1.50 0.19965
2.90 1.60 0.16883
2.90 1.70 0.17046
2.90 1.80 0.08238
2.90 1.90 0.15510
2.90 2.00 0.14369
2.90 2.10 0.14694
2.90 2.20 0.13997
2.90 2.30 0.08392
2.90 2.40 0.12450
2.90 2.50 0.11145
2.90 2.60 0.08565
2.90 2.70 0.14127
2.90 2.80 0.12487
2.90 2.90 0.12067
2.90 3.00 0.13198

3.00 0.00 1.26929
3.00 0.10 0.95372
3.00 0.20 0.67027
3.00 0.30 0.73096
3.00 0.40 0.78844
3.00 0.50 0.67288
3.00 0.60 0.49336
3.00 0.70 0.43606
3.00 0.80 0.50405
3.00 0.90 0.47299
3.00 1.00 0.44171
3.00 1.10 0.72892
3.00 1.20 0.57466
3.00 1.30 0.42160
3.00 1.40 0.27035
3.00 1.50 0.20722
3.00 1.60 0.20726
3.00 1.70 0.12908
3.00 1.80 0.16716
3.00 1.90 0.11555
3.00 2.00 0.13990
3.00 2.10 0.13427
3.00 2.20 0.14573
3.00 2.30 0.10070
3.00 2.40 0.10391
3.00 2.50 0.10008
3.00 2.60 0.09384
3.00 2.70 0.11438
3.00 2.80 0.12246
3.00 2.90 0.15672
3.00 3.00 0.11031

