#S1	S2	MSE
2.10	0.10	7.9033994837e-01
2.10	0.20	6.6349716801e-01
2.10	0.30	5.5657762478e-01
2.10	0.40	4.6957250828e-01
2.10	0.50	4.0245857293e-01
2.10	0.60	3.5518948192e-01
2.10	0.70	3.2767632400e-01
2.10	0.80	3.1974007409e-01
2.10	0.90	3.3097798628e-01
2.10	1.00	3.6029511528e-01
2.10	1.10	4.0353872971e-01
2.10	1.20	4.3017607272e-01
2.10	1.30	2.7721088068e-01
2.10	1.40	1.5509640884e-01
2.10	1.50	8.8267978239e-02
2.10	1.60	4.9367485547e-02
2.10	1.70	2.6165735399e-02
2.10	1.80	1.2447945387e-02
2.10	1.90	4.7568756504e-03
2.10	2.00	1.0362764505e-03
2.10	2.10	NaN
2.10	2.20	7.1475241014e-04
2.10	2.30	2.2738217771e-03
2.10	2.40	4.1204941149e-03
2.10	2.50	5.9617340256e-03
2.10	2.60	7.6500135493e-03
2.10	2.70	9.1205378724e-03
2.10	2.80	1.0355780319e-02
2.10	2.90	1.1364540201e-02
2.10	3.00	1.2169234489e-02
2.20	0.00	1.0000000000e+00
2.20	0.10	8.0329341616e-01
2.20	0.20	6.7581893373e-01
2.20	0.30	5.6826850368e-01
2.20	0.40	4.8063353877e-01
2.20	0.50	4.1289144249e-01
2.20	0.60	3.6499737635e-01
2.20	0.70	3.3686590101e-01
2.20	0.80	3.2832675436e-01
2.20	0.90	3.3900286791e-01
2.20	1.00	3.6789481824e-01
2.20	1.10	4.1138569729e-01
2.20	1.20	4.4536569087e-01
2.20	1.30	3.0934246946e-01
2.20	1.40	1.7728906259e-01
2.20	1.50	1.0445321320e-01
2.20	1.60	6.1426286372e-02
2.20	1.70	3.5120474808e-02
2.20	1.80	1.8903239183e-02
2.20	1.90	9.0928109791e-03
2.20	2.00	3.5029398739e-03
2.20	2.10	7.6769869873e-04
2.20	2.20	NaN
2.20	2.30	5.3644048155e-04
2.20	2.40	1.7162980667e-03
2.20	2.50	3.1218671305e-03
2.20	2.60	4.5276938470e-03
2.20	2.70	5.8182133842e-03
2.20	2.80	6.9419008540e-03
2.20	2.90	7.8844228482e-03
2.20	3.00	8.6523593561e-03
2.30	0.00	1.0000000000e+00
2.30	0.10	8.1382145740e-01
2.30	0.20	6.8585747699e-01
2.30	0.30	5.7781820236e-01
2.30	0.40	4.8969522093e-01
2.30	0.50	4.2146644111e-01
2.30	0.60	3.7308818163e-01
2.30	0.70	3.4447765818e-01
2.30	0.80	3.3547122046e-01
2.30	0.90	3.4571080589e-01
2.30	1.00	3.7426560896e-01
2.30	1.10	4.1788345921e-01
2.30	1.20	4.5642987375e-01
